item,name,description,type,category,subcategory,label
http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,"Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state",concept,history,historical event,cultural exclusive
http://www.wikidata.org/entity/Q125482,imam,Islamic leadership position,concept,philosophy and religion,religious leader,cultural exclusive
http://www.wikidata.org/entity/Q15789,FC Bayern Munich,"association football club in Munich, Germany",entity,sports,sports club,cultural exclusive
http://www.wikidata.org/entity/Q582496,Fome Zero,program intended to eradicate hunger and extreme poverty in Brazil,entity,politics,government agency,cultural exclusive
http://www.wikidata.org/entity/Q572811,Anthony Award,awards given at Bouchercon for mystery literature,entity,literature,literary award,cultural exclusive
http://www.wikidata.org/entity/Q1866547,Livraria Bertrand,Portuguese book retailer,entity,books,bookstore,cultural exclusive
http://www.wikidata.org/entity/Q19081,prokaryotes,group of organisms whose cells lack a cell nucleus,concept,biology,organism,cultural agnostic
http://www.wikidata.org/entity/Q474090,narrative poetry,type of poetry which tells a story,concept,literature,poetry,cultural exclusive
http://www.wikidata.org/entity/Q1266300,Neue Slowenische Kunst,micronation,entity,visual arts,art movement,cultural representative
http://www.wikidata.org/entity/Q193654,short-track speed skating,"winter sport, in which skaters skate on an oval ice track with a length of 111.12 m",concept,sports,sport,cultural agnostic
http://www.wikidata.org/entity/Q372,We Live in Public,2009 documentary film,entity,films,film,cultural representative
http://www.wikidata.org/entity/Q820887,University of Florence,university in Italy,entity,history,archive,cultural exclusive
http://www.wikidata.org/entity/Q503269,seamount,mountain rising from the ocean floor that does not reach the water's surface,concept,geography,mountain,cultural agnostic
http://www.wikidata.org/entity/Q57318,free imperial city,self-ruling city that enjoyed Imperial immediacy in the Holy Roman Empire,concept,geography,city,cultural agnostic
http://www.wikidata.org/entity/Q25239,Alnus,genus of plants,concept,biology,tree,cultural agnostic
http://www.wikidata.org/entity/Q47195,trick-or-treating,Halloween custom in which costumed children go from house to house to ask for candy,concept,gestures and habits,tradition,cultural exclusive
http://www.wikidata.org/entity/Q83368,empiricism,theory that states that knowledge comes only or primarily from sensory experience,concept,philosophy and religion,philosophical movement,cultural agnostic
http://www.wikidata.org/entity/Q42601,David Ginola,French footballer (born 1967),entity,fashion,model,cultural representative
http://www.wikidata.org/entity/Q654057,Tuscan order,Architectural order,concept,architecture,architectural style,cultural agnostic
http://www.wikidata.org/entity/Q446523,epyllion,short epic poem,concept,literature,literary genre,cultural agnostic
http://www.wikidata.org/entity/Q1695743,post in ground,"type of construction in which vertical, roof-bearing timbers, called posts, are in direct contact with the ground. They may be placed into excavated post holes, driven into the ground, or on sills which are set on the ground without a foundation",concept,architecture,building,cultural agnostic
http://www.wikidata.org/entity/Q5188176,cross-gender acting,actors portraying characters of the opposite sex,concept,films,acting style,cultural agnostic
http://www.wikidata.org/entity/Q154168,toast,ritual in which a drink is taken,concept,gestures and habits,ritual,cultural agnostic
http://www.wikidata.org/entity/Q13473,beIN SPORTS,global Qatari network of sports channels,entity,media,media company,cultural agnostic
http://www.wikidata.org/entity/Q2088191,philosopher king,"king who rules through love and knowledge, as described by Plato",concept,philosophy and religion,philosopher,cultural agnostic
http://www.wikidata.org/entity/Q15003,escalator,moving staircase,concept,transportation,mode of transport,cultural exclusive
http://www.wikidata.org/entity/Q510548,Tour Méditerranéen,recurring sporting event,entity,sports,recurring sporting event,cultural representative
http://www.wikidata.org/entity/Q672556,Boxer Protocol,"Diplomatic protocol, final agreement between China and eleven countries on compensation for the 1900 riots",entity,books,book,cultural exclusive
http://www.wikidata.org/entity/Q738377,student newspaper,newspaper or periodical run by students,entity,media,magazine,cultural exclusive
http://www.wikidata.org/entity/Q170980,obelisk,"tall, four-sided, narrow tapering monument which ends in a pyramid-like shape at the top",concept,history,monument,cultural exclusive
http://www.wikidata.org/entity/Q242791,Kyokushin kaikan,full contact karate organization founded by Masutatsu Ōyama,entity,sports,sports team,cultural exclusive
http://www.wikidata.org/entity/Q159488,anti-tobacco movement in Nazi Germany,overview about the anti-tobacco movement in Nazi Germany,concept,politics,policy,cultural agnostic
http://www.wikidata.org/entity/Q5409,Peire Rogier,French troubadour,entity,literature,poet,cultural representative
http://www.wikidata.org/entity/Q748822,private press,publishing and printing operation operated as an artistic or craft-based endeavor,concept,literature,publisher,cultural agnostic
http://www.wikidata.org/entity/Q578798,Council of Government of the Region of Murcia,executive branch of regional government in Spain,entity,politics,government,cultural exclusive
http://www.wikidata.org/entity/Q1145,Jean-Philippe Rameau,French composer and music theorist (1683–1764),entity,performing arts,choreographer,cultural exclusive
http://www.wikidata.org/entity/Q169990,Eleventh Amendment to the United States Constitution,1795 amendment restricting ability to sue states in federal courts,entity,politics,law,cultural exclusive
http://www.wikidata.org/entity/Q6406716,Castillo Douglas,"house in Aguascalientes, Mexico",entity,architecture,construction,cultural exclusive
http://www.wikidata.org/entity/Q1323191,costume designer,"person who designs costumes for a film, stage production, or television show",concept,fashion,designer,cultural agnostic
http://www.wikidata.org/entity/Q66844,Lamboing,"village and former municipality in Plateau de Diesse in the canton of Bern, Switzerland",entity,geography,neighborhood,cultural exclusive
http://www.wikidata.org/entity/Q365065,bitter lemon,British soft drink,concept,food,drink,cultural representative
http://www.wikidata.org/entity/Q546206,Miami bass,"subgenre of hip-hop from South Florida in the 1980s and 1990s, characterized by the Roland TR-808 sustained kick drum, raised dance tempos, and sexually explicit lyrics",concept,music,music genre,cultural representative
http://www.wikidata.org/entity/Q82288,Psychrolutes marcidus,Australian deep-sea fish with gelatinous flesh,concept,biology,fish,cultural agnostic
http://www.wikidata.org/entity/Q488205,singer-songwriter,"musician who writes, composes and sings own songs",concept,music,musical profession,cultural agnostic
http://www.wikidata.org/entity/Q487734,Croatian folk costume,traditional dress of the various regions of Croatia,concept,fashion,traditional costume,cultural exclusive
http://www.wikidata.org/entity/Q253241,Su Nuraxi di Barumini,nuraghe,entity,history,museum,cultural exclusive
http://www.wikidata.org/entity/Q217392,Open Season 2,2009 animated feature film directed by Matthew O'Callaghan,entity,comics and anime,animated film,cultural representative
http://www.wikidata.org/entity/Q1776053,city comedy,genre of comedy in English early modern theatre,concept,performing arts,theatrical genre,cultural agnostic
http://www.wikidata.org/entity/Q3154160,Julia Vysotskaya,Russian actress and television presenter,entity,food,cook,cultural representative
http://www.wikidata.org/entity/Q53044,Elio Petri,Italian filmmaker (1929–1982),entity,films,film director,cultural representative
http://www.wikidata.org/entity/Q852061,champion,"victor in a challenge, contest or competition",entity,sports,athlete,cultural exclusive
http://www.wikidata.org/entity/Q201565,nori,edible seaweed species of the red algae genus Pyropia,concept,food,ingredient,cultural agnostic
http://www.wikidata.org/entity/Q264972,740 Park Avenue,residential building in New York City,entity,architecture,architectural structure,cultural exclusive
http://www.wikidata.org/entity/Q5219853,Danish philosophy,part of Western philosophy,concept,philosophy and religion,philosophy,cultural agnostic
http://www.wikidata.org/entity/Q242095,Dino Buzzati,Italian writer (1906-1972),entity,comics and anime,comics artist,cultural representative
http://www.wikidata.org/entity/Q438464,alternative comics,independent comic publications,concept,comics and anime,comics,cultural agnostic
http://www.wikidata.org/entity/Q55439,panel painting,painting made on a flat panel made of wood,concept,visual arts,painting,cultural agnostic
http://www.wikidata.org/entity/Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead",concept,books,non-fiction writer,cultural agnostic
http://www.wikidata.org/entity/Q2250579,Shu'ubiyya,Iranian movement against the supremacy of the Arab race,concept,philosophy and religion,religious movement,cultural agnostic
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience,entity,music,musician,cultural agnostic
http://www.wikidata.org/entity/Q47520669,diplomatician,person who studies the protocols of documents,concept,history,historian,cultural exclusive
http://www.wikidata.org/entity/Q182950,Studio Ghibli,Japanese animation studio,entity,comics and anime,animation studio,cultural representative
http://www.wikidata.org/entity/Q1154859,rock festival,type of music festival,concept,music,music festival,cultural exclusive
http://www.wikidata.org/entity/Q31454881,Baldegg Kloster railway station,railway station in Switzerland,entity,transportation,station,cultural exclusive
http://www.wikidata.org/entity/Q62855,Alexander Braun,German botanist and university teacher (1805–1877),entity,biology,biologist,cultural exclusive
http://www.wikidata.org/entity/Q254907,genrō,Japanese elder statesmen,concept,politics,politician,cultural exclusive
http://www.wikidata.org/entity/Q591942,distributary,stream that branches off and flows away from a main stream channel,concept,geography,river,cultural agnostic
http://www.wikidata.org/entity/Q942219,kanga,"traditional wrapped garment of East Africa, typically worn by women",entity,fashion,clothing,cultural exclusive
http://www.wikidata.org/entity/Q178671,Theosophy,religion founded by Helena Blavatsky,concept,philosophy and religion,religion,cultural agnostic
http://www.wikidata.org/entity/Q890057,body modification,deliberate altering of the human anatomy for non-medical reasons,concept,gestures and habits,mores,cultural agnostic
http://www.wikidata.org/entity/Q6839890,Microphotography,writing style in science journalism,concept,literature,writing style,cultural agnostic
http://www.wikidata.org/entity/Q5180408,Crackle,digital streaming video content network,concept,media,streaming service,cultural agnostic
http://www.wikidata.org/entity/Q10798,Sus,genus of mammals in the family Suidae,entity,biology,animal,cultural exclusive
http://www.wikidata.org/entity/Q354239,minor party,political party with little influence in the governing of a country,entity,politics,political party,cultural agnostic
http://www.wikidata.org/entity/Q61391,cheerleading,sports activity in which the participants cheer for their team as a form of encouragement,concept,performing arts,dance,cultural agnostic
http://www.wikidata.org/entity/Q32491,Qantas,the flag carrier airline of Australia,entity,media,production company,cultural exclusive
http://www.wikidata.org/entity/Q704948,body double,profession,concept,performing arts,actor,cultural agnostic
http://www.wikidata.org/entity/Q6379416,Kawabata Evaluation System,system to measure the mechanical properties of fabrics,concept,fashion,textile,cultural agnostic
http://www.wikidata.org/entity/Q1451709,women's cinema,women role-related cinema,concept,films,film genre,cultural agnostic
http://www.wikidata.org/entity/Q266569,animator,person who makes animated sequences out of still images,concept,visual arts,artist,cultural agnostic
http://www.wikidata.org/entity/Q170593,collaging,technique of art production using assemblage of different forms,concept,visual arts,visual arts,cultural agnostic
http://www.wikidata.org/entity/Q828043,bouillabaisse,traditional Provençal fish stew,concept,food,dish,cultural exclusive
http://www.wikidata.org/entity/Q276452,Goliath Artists,American management company and record label,entity,music,record label,cultural representative
http://www.wikidata.org/entity/Q374852,Glück auf,German miners' greeting phrase,concept,gestures and habits,greeting,cultural agnostic
http://www.wikidata.org/entity/Q23529,message in a bottle,form of communication,concept,transportation,transport,cultural agnostic
http://www.wikidata.org/entity/Q39336,Rome Film Festival,"film festival that takes place in Rome, Italy",entity,films,film festival,cultural exclusive
http://www.wikidata.org/entity/Q59187,Vauxhall,"English car company, subsidiary of Stellantis",entity,transportation,automobile manufacturer,cultural agnostic
http://www.wikidata.org/entity/Q49000490,council architect,architect working for a local council,concept,architecture,architect,cultural agnostic
http://www.wikidata.org/entity/Q5139107,coca flour,coca leaves powder,concept,food,food,cultural exclusive
http://www.wikidata.org/entity/Q564278,Meunière sauce,"Butter, parsley, and lemon-based condiment",concept,food,cooking technique,cultural agnostic
http://www.wikidata.org/entity/Q438533,alternative manga,sub genre of manga,concept,comics and anime,manga,cultural representative
http://www.wikidata.org/entity/Q308876,stop-motion,animation technique to make a physically manipulated object appear to move on its own,concept,comics and anime,animation technique,cultural agnostic
http://www.wikidata.org/entity/Q1320698,Strawberry Field,Site of a former Salvation Army children's home in Liverpool,entity,geography,geographic location,cultural exclusive
http://www.wikidata.org/entity/Q18545,ball,round object used in sports or for playing,concept,sports,sports equipment,cultural agnostic
http://www.wikidata.org/entity/Q9381,Adam Smith,Scottish moral philosopher and political economist (1723–1790),entity,literature,writer,cultural exclusive
http://www.wikidata.org/entity/Q338367,Accademia Carrara,Italian art gallery and academy of fine arts in Bergamo,entity,visual arts,art gallery,cultural exclusive
http://www.wikidata.org/entity/Q25104247,mic drop,gesture of dropping a microphone,concept,gestures and habits,body language,cultural agnostic
http://www.wikidata.org/entity/Q65022,Ellen von Unwerth,German photographer,entity,visual arts,photographer,cultural exclusive
http://www.wikidata.org/entity/Q16390125,Les Sœurs Boulay,Canadian musical sibling duo,entity,music,musical group,cultural representative
http://www.wikidata.org/entity/Q5194627,Lilium,genus of plants,concept,biology,plant,cultural agnostic
http://www.wikidata.org/entity/Q3364870,rangeland,open grazing land,concept,geography,environment,cultural agnostic
http://www.wikidata.org/entity/Q84199,Michael Haneke,Austrian film director and screenwriter,entity,performing arts,theatrical director,cultural representative
http://www.wikidata.org/entity/Q244630,Two-Rhythm Dance,"Zwiefache is a typical Bavarian-Bohemian musical genre that is played, danced and sung",entity,performing arts,folk dance,cultural representative
http://www.wikidata.org/entity/Q172336,chokehold,submission hold that reduces air or blood flow,concept,gestures and habits,gesture,cultural agnostic
http://www.wikidata.org/entity/Q184452,cable television,television content transmitted via signals on coaxial cable,concept,media,television,cultural agnostic
http://www.wikidata.org/entity/Q911043,cross-laminated timber,wood panel product made from solid-sawn lumber,concept,architecture,building material,cultural agnostic
http://www.wikidata.org/entity/Q2380474,Raleigh Studios,American film studio,entity,media,film studio,cultural representative
http://www.wikidata.org/entity/Q365126,Keolis Nederland,transport company,entity,transportation,transport company,cultural exclusive
http://www.wikidata.org/entity/Q7257263,underwear as outerwear,fashion trend,concept,fashion,fashion trend,cultural agnostic
http://www.wikidata.org/entity/Q55198,Oleksandr Dovzhenko,"Soviet Ukrainian screenwriter, film producer and director (1894–1956)",entity,films,film producer,cultural representative
http://www.wikidata.org/entity/Q2618583,French Emigration,French diaspora due to the French Revolution and Napoleonic rule,concept,history,historical event,cultural exclusive
http://www.wikidata.org/entity/Q133485,rabbi,teacher of Torah in Judaism,concept,philosophy and religion,religious leader,cultural exclusive
http://www.wikidata.org/entity/Q15799,Club Atlético River Plate,Argentine professional sports club based in Buenos Aires,entity,sports,sports club,cultural exclusive
http://www.wikidata.org/entity/Q593887,Council of Government,cabinet of the Monaco government,entity,politics,government agency,cultural exclusive
http://www.wikidata.org/entity/Q593216,Constantijn Huygens Prize,"series of annually awarded Dutch literary prizes for complete oeuvres, named after the poet Constantijn Huygens.",entity,literature,literary award,cultural exclusive
http://www.wikidata.org/entity/Q1323870,El Ateneo Grand Splendid,"former theatre in Buenos Aires, Argentina, now used as a bookshop",entity,books,bookstore,cultural exclusive
http://www.wikidata.org/entity/Q19088,eukaryote,taxonomic group whose members have a cell nucleus enclosed within a nuclear envelope,concept,biology,organism,cultural agnostic
